1B7X;Complete the hard Ardougne achievement diary;Speak to Aleck in the Yanille Hunter Emporium upon completion.;Hard_Ardougne_achievements;hard
ZN36;Complete the elite Ardougne achievement diary;Speak to Aleck in Yanille's Hunter Emporium upon completion.;Elite_Ardougne_achievements;master
19ZZ;Complete the hard Desert achievement diary;Speak to Ali the Mayor in the city of Pollnivneach upon completion.;Hard_Desert_achievements;medium
LZD4;Complete the medium Ardougne achievement diary;Speak to the Town Crier in the East Ardougne market upon completion.;Medium_Ardougne_achievements;easy
V43R;Complete the elite New Varrock achievement diary;Speak to Tiny Zemouregal in New Varrock upon completion.;New_Varrock_Set_Tasks_-_Elite;elite
276R;Complete a total of 120 city quests in Menaphos;The cooldown between each quest reduces based on your overall reputation within Menaphos. You are expected to skip any requests for resources you do not already have banked, unless said resource has a guaranteed way of being obtained.;City_Quest;legendary
4BWZ;The lodestones are active sir;Activate all lodestones. Completion of the quests Jack of Spades, Lunar Diplomacy, Regicide, Desert Treasure and Plague's End are required.;Lodestone_Network_(achievement);passive
WZ3V;Complete the Burthorpe Book section of the Achievement Paths;This path is pretty much a tutorial in itself. You'll be going through the basics of what RuneScape has to offer. The path system can be found when pressing F1 (by default), then going to the Achievements tab and clicking the Summary section here. If the Burthorpe section doesn't show by default, click on the bottom, where it says 'Paths', until 'Burthorpe' shows up. The wiki page is not up to date yet, due to recent changes to the path system. It is best to follow the in-game section and use the wiki if things are unclear.;Achievement_Paths#Burthorpe;beginner
LBNL;Complete the easy Ardougne achievement diary;Speak to Doctor Orbon in the Ardougne Church upon completion.;Easy_Ardougne_achievements;beginner
YJ3E;Complete the elite Seers' Village achievement diary;Speak to Sir Kay inside Camelot Castle upon completion.;Elite_Seers%27_Village_achievements;elite
PGJR;Complete the medium Daemonheim achievement diary;Speak to Marmaros, the Rewards Trader upon completion. N.B. The Frost dragon can only be found on Frozen floors (floors 1-11). Doing medium or large floors increase the chances of getting an altar and Frost dragon in the same floor.;Medium_Daemonheim_achievements;easy
1M7V;Complete the hard Falador achievement diary;Speak to Sir Vyvin's squire in the Falador Castle grounds upon completion.;Hard_Falador_achievements;medium
XN36;Complete the elite Daemonheim achievement diary;Speak to Thok in the Daemonheim Camp upon completion.;Elite_Daemonheim_achievements;master
EVE9;Complete a total of 140 city quests in Menaphos;The cooldown between each quest reduces based on your overall reputation within Menaphos. You are expected to skip any requests for resources you do not already have banked, unless said resource has a guaranteed way of being obtained.;City_Quest;legendary
25ZV;Unlock Mune's Desert form after completing the Desert task set;Mune, the area pet can be found wandering the Desert on Monday if you have finished the Elite Desert task set.;Mune;passive
PZZG;Complete the hard Daemonheim achievement diary;Speak to Thalsar in the daemonheim Camp upon completion.;Hard_Daemonheim_achievements;hard
KXK6;Complete the hard Tirannwn achievement diary;Speak to Arianwyn in the Cadarn district in Prifddinas upon completion.;Hard_Tirannwn_achievements;elite
LX2P;Complete the easy Daemonheim achievement diary;Speak to Drangund, the Dungeoneering Tutor upon completion.;Easy_Daemonheim_achievements;beginner
4X44;Complete the hard Morytania achievement diary;Speak to the Strange Old Man frequenting Barrows upon completion.;Hard_Morytania_achievements;hard
PRGE;Complete the medium Fremennik achievement diary;Speak to Yrsa in Rellekka upon completion.;Medium_Fremennik_achievements;medium
R25Y;Complete the elite Desert achievement diary;Speak to the Clay Golem in the City of Uzer upon completion.;Elite_Desert_achievements;master
PBQG;Complete the medium Desert achievement diary;Speak to Zahur in Nardah upon completion.;Medium_Desert_achievements;easy
6Z6R;Complete a total of 160 city quests in Menaphos;The cooldown between each quest reduces based on your overall reputation within Menaphos. You are expected to skip any requests for resources you do not already have banked, unless said resource has a guaranteed way of being obtained.;City_Quest;legendary
EQJQ;Unlock Mune's Forest form after completing the Tirannwn task set;Mune, the area pet can be found wandering the forests of Tirannwn on Tuesday if you have finished the Elite Tirannwn task set.;Mune;passive
1573;Complete the medium Falador achievement diary;Speak to the Chemist in Rimmington upon completion.;Medium_Falador_achievements;easy
B49B;Complete the hard Seers' Village achievement diary;Speak to Sir Kay in the Camelot Castle Grounds upon completion.;Hard_Seers%27_Village_achievements;hard
95K4;Complete the elite Falador achievement diary;Speak to Squire Asrol in the courtyard of the White Knight Castle upon completion.;Elite_Falador_achievements;master
142L;Complete the easy Desert achievement diary;Speak to Grand Vizier Hassan in the Al Kharid Palace (or the Merchant district of Menaphos after Jack of Spades) upon completion.;Easy_Desert_achievements;beginner
LY4K;Complete the hard Fremennik achievement diary;Speak to Advisor Ghrim in Miscellania Castle upon completion.;Hard_Fremennik_achievements;medium
94ZN;Obtain the Totem of Auras top by pulling up 60 Ancient Zygomites on Anachronia;There are a total of 60 Ancient Zygomites scattered across Anachronia. They're dug into the ground and disguised as flowers. Finding all 60 requires an Agility level of 85.;Leave_No_Zygomite_Buried;elite
QJZN;Complete a total of 180 city quests in Menaphos;The cooldown between each quest reduces based on your overall reputation within Menaphos. You are expected to skip any requests for resources you do not already have banked, unless said resource has a guaranteed way of being obtained.;City_Quest;legendary
67MZ;Unlock Mune's Ice form after completing the Fremennik task set;Mune, the area pet can be found wandering the Fremennik Province on Wednesday if you have finished the Elite Fremennik task set.;Mune;passive
P77N;Complete the medium Tirannwn achievement diary;Speak to Gwir in the main house of Lletya upon completion.;Medium_Tirannwn_achievements;hard
1ZB1;Complete the easy Falador achievement diary;Speak to Redbeard Frank in Port Sarim upon completion.;Easy_Falador_achievements;beginner
